,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
689,1.29,1.44,0.0916,0.030699999999999998,0.0302,0.3323,30.53,2.95,91.6,0.8097,11.0,6.37,0.04,3.05,1.75,122.13,0.042,0.5293,1.44,0.0308,0.08449999999999999,0
950,1.79,0.79,-0.7759,0.0383,0.0385,0.06,58.62,3.07,48.59,-0.8443999999999999,1.43,0.18,0.05,0.12,1.07,107.21,0.0256,0.6344,0.79,0.0321,0.2259,0
1401,0.67,1.44,0.1251,0.07629999999999999,0.0732,0.24,79.23,4.54,33.15,1.0079,3.25,1.09,0.47,0.29,2.01,112.37,0.0565,0.39799999999999996,1.44,0.042699999999999995,0.20010000000000003,0
918,11.02,0.39,-0.7514,0.0218,0.0218,0.012,66.41,2.71,65.61,-2.25,0.55,-0.63,0.25,0.01,0.39,132.03,-0.6943,0.8926999999999999,0.3,0.01,0.1885,0
1427,1.61,0.75,0.3209,0.09970000000000001,0.09759999999999999,0.72,95.22,1.89,31.35,0.3267,7.34,4.05,1.11,2.1,1.4,126.57,0.24739999999999998,0.6022,0.75,0.0594,0.35950000000000004,0
1302,1.19,0.78,0.2566,0.08990000000000001,0.0716,0.727,95.75,1.88,21.51,0.24050000000000002,9.81,3.23,1.36,5.54,1.27,117.26,0.1674,0.5318999999999999,0.78,0.0755,0.40840000000000004,0
1249,2.51,0.66,0.9964,0.1155,0.10279999999999999,0.57,97.31,3.7,24.86,1.1518000000000002,5.15,1.9,0.37,2.11,1.18,122.17,0.47,0.7117,0.66,0.0298,0.2859,0
1343,1.0,0.49,0.019,0.0342,0.0336,0.044,106.09,1.7,20.16,0.0024,1.31,-4.21,-0.008,4.33,0.96,126.25,0.0496,0.4988,0.33,0.024900000000000002,0.2115,0
990,1.03,1.21,-0.41490000000000005,0.029500000000000002,0.029500000000000002,0.07,49.63,3.63,81.6,-0.6158,2.36,1.06,-0.09,0.06,1.41,131.23,-0.2721,0.504,1.21,0.0405,0.23870000000000002,0
1363,0.77,0.93,-0.41700000000000004,0.0397,0.0403,0.0986,63.88,2.82,24.07,0.3932,2.44,0.43,0.2,0.94,1.51,87.95,0.0698,0.43579999999999997,0.93,0.0273,0.1709,0
401,0.32,4.15,0.2927,0.054400000000000004,0.053899999999999997,0.24,70.27,2.56,78.13,0.3422,4.54,1.01,0.07,2.44,4.99,148.4,0.33880000000000005,0.2412,4.15,0.2005,0.4727,1
1054,4.36,0.96,0.2493,0.3197,0.2756,1.16,36.9,9.76,85.12,0.24719999999999998,4.21,2.07,0.67,0.96,1.2,122.02,0.3042,0.8134,0.96,0.029300000000000003,0.0857,0
1201,1.01,0.9,1.1025,0.015600000000000001,0.0154,0.06,115.22,0.78,126.76,1.0861,6.68,1.51,-0.27,4.06,1.4,241.98,0.8595999999999999,0.4797,0.9,0.056600000000000004,0.2725,0
484,1.06,0.87,0.1941,0.2349,0.2213,0.6874,126.03,2.86,28.53,0.1681,3.11,1.44,-0.19,0.23,1.36,154.56,0.1999,0.4964,0.87,0.10769999999999999,0.4951,0
1120,0.77,1.16,-0.26649999999999996,0.011699999999999999,0.0116,0.042,69.79,5.16,58.15,1.7163,3.64,0.52,0.23,1.84,1.21,127.94,0.2286,0.42310000000000003,0.73,0.0069,0.1398,0
1209,1.8,0.84,0.204,0.0262,0.0259,0.12,89.66,1.0,147.28,0.1913,4.53,1.69,0.05,1.77,1.19,236.93,0.18230000000000002,0.5897,0.84,0.0733,0.2587,0
960,1.0,0.92,-0.4539,0.048,0.0388,0.08,65.14,5.53,48.63,1.6887,2.1,0.34,0.05,0.06,1.41,113.78,-0.0017000000000000001,0.49770000000000003,0.92,0.0222,0.20929999999999999,0
43,0.66,0.64,-0.3688,0.0083,0.0083,0.06,344.43,0.52,49.82,-0.6481999999999999,6.75,1.8,0.32,3.83,2.09,394.25,0.1537,0.39039999999999997,0.64,0.0269,0.23670000000000002,1
1458,1.21,1.57,-0.0245,0.09630000000000001,0.09029999999999999,0.52,41.34,8.71,185.53,-0.1079,5.69,1.68,-0.08,2.99,1.89,226.87,0.0823,0.5478000000000001,1.57,0.0356,0.12140000000000001,0
903,0.73,1.31,0.0599,0.0207,0.018799999999999997,0.069,87.44,2.06,44.48,-0.1838,3.55,0.13,0.17,1.87,1.43,131.91,0.7272,0.4039,1.13,0.045599999999999995,0.1656,0
