,产权比率,保守速动比率,净利润同比增长率,净资产收益率,净资产收益率-摊薄,基本每股收益(元),存货周转天数(天),存货周转率(次),应收账款周转天数(天),扣非净利润同比增长率,每股净资产(元),每股未分配利润(元),每股经营现金流(元),每股资本公积金(元),流动比率,营业周期(天),营业总收入同比增长率,资产负债率,速动比率,销售净利率,销售毛利率,类别
829,1.26,0.93,0.5117,0.2274,0.1973,1.35,95.03,3.79,9.73,0.4813,7.89,3.99,2.97,2.68,1.52,104.76,0.3089,0.5481,0.93,0.07429999999999999,0.3847,0
679,1.05,1.34,0.044000000000000004,0.1476,0.1386,0.8173,33.6,8.04,68.7,0.0443,5.9,4.22,0.8,0.06,1.73,102.3,0.0616,0.5035000000000001,1.34,0.0446,0.0805,0
1163,0.55,0.99,2.7070999999999996,0.0217,0.0216,0.0824,63.53,4.25,64.79,2.4208000000000003,3.82,0.97,-0.0017,1.61,1.59,128.32,0.1322,0.3528,0.99,0.0161,0.1348,0
1445,2.79,0.37,0.0775,0.1572,0.1536,1.23,86.46,4.16,28.97,0.0504,10.66,6.2,5.62,2.79,0.72,115.43,0.12380000000000001,0.7182,0.37,0.0501,0.32130000000000003,0
942,1.67,0.56,-0.0708,0.0776,0.06709999999999999,0.1,60.55,2.97,43.73,-1.1517,1.55,-0.16,0.03,0.58,0.8,104.27,0.0027,0.6268,0.56,0.0579,0.2434,0
1357,0.88,0.66,-0.0023,0.056900000000000006,0.0638,0.13,72.54,4.96,23.98,-0.056799999999999996,1.97,0.17,0.13,0.73,1.33,96.52,0.0599,0.4667,0.66,0.0207,0.1801,0
581,0.77,1.51,0.4917,0.0535,0.0538,0.25,30.37,5.93,89.9,0.2229,4.64,1.56,-0.13,1.86,1.85,120.26,0.30579999999999996,0.4201,1.51,0.0416,0.0886,0
1271,1.27,1.19,0.1183,0.1585,0.1603,0.6568,45.34,5.95,92.37,0.22219999999999998,4.08,2.04,0.43,0.79,1.6,137.72,0.054299999999999994,0.5621,1.24,0.0608,0.2682,0
1457,1.22,1.29,0.38409999999999994,0.13419999999999999,0.1065,0.61,61.14,5.89,163.04,0.4825,5.96,1.41,-0.8,3.53,1.59,224.18,0.0647,0.5487,1.29,0.0395,0.13699999999999998,0
1242,1.31,0.49,1.9546999999999999,0.024399999999999998,0.0242,0.1,99.65,0.9,21.26,-0.1216,4.27,1.52,0.25,1.64,1.14,120.91,0.057800000000000004,0.5656,0.49,0.0311,0.2843,0
819,1.04,0.57,0.1592,0.0993,0.1026,0.55,132.56,1.36,10.88,0.10830000000000001,7.01,3.38,0.41,2.43,1.31,143.44,0.1661,0.5034000000000001,0.57,0.0698,0.4168,0
1165,0.59,1.01,0.3525,0.0084,0.0084,0.0328,58.65,1.53,67.73,0.1588,3.92,1.01,-0.15,1.61,1.57,126.39,0.0338,0.3665,1.01,0.0181,0.1297,0
1251,2.57,0.54,0.24670000000000003,0.0646,0.0596,0.34,118.71,1.52,35.77,0.2455,5.41,2.13,0.05,2.14,1.12,154.48,0.2571,0.7143,0.54,0.033,0.3089,0
939,2.63,0.5,-0.2887,0.1094,0.10679999999999999,0.116,59.68,4.52,51.22,3.4663,1.09,-0.26,0.1,0.21,0.76,110.9,-0.0292,0.7088,0.5,0.04769999999999999,0.2509,0
1415,0.84,1.12,0.38189999999999996,0.046799999999999994,0.045599999999999995,0.2054,77.18,2.33,47.36,-0.2872,4.5,1.97,1.0,0.29,1.65,124.54,-0.0521,0.456,1.12,0.051,0.1889,0
1114,0.71,1.55,-0.1858,0.0127,0.0126,0.045,78.52,2.29,69.81,-0.31829999999999997,3.59,0.48,-0.12,1.84,1.49,148.33,0.0576,0.4054,0.91,0.0179,0.1379,0
1186,0.54,1.26,-0.1318,0.0203,0.0202,0.1144,72.21,2.49,50.77,-0.0941,5.67,2.34,-0.18,1.6,2.18,122.98,0.138,0.349,1.32,0.0202,0.183,0
1424,1.14,0.79,0.2693,0.0911,0.09570000000000001,0.78,104.25,2.59,30.33,0.258,8.15,3.56,0.86,3.42,1.67,134.57,0.3439,0.5215,0.79,0.056600000000000004,0.36200000000000004,0
685,0.9,1.5,0.9012,0.0394,0.0387,0.3171,33.99,2.65,65.06,0.1539,7.64,5.61,0.16,0.19,1.93,99.06,0.09140000000000001,0.44170000000000004,1.5,0.0429,0.0746,0
1149,0.52,1.62,0.32789999999999997,0.013500000000000002,0.013300000000000001,0.0897,56.02,1.61,62.31,0.32689999999999997,6.72,1.17,-0.09,4.36,2.2,118.33,0.0305,0.34020000000000006,1.62,0.0294,0.1399,0
1428,1.64,0.73,0.3175,0.1399,0.13419999999999999,1.03,95.08,2.84,29.97,0.3169,7.66,4.37,1.97,2.1,1.35,125.06,0.218,0.6079,0.73,0.055999999999999994,0.3607,0
